1726|1211|20|-21|10|4|5
795|267|3|30|2|0|4
3892|880|20|-14|10|8|4
3374|65|16|-12|2|4|8
921|697|4|6|6|8|9
279|399|3|0|10|4|5
2421|90|7|-15|6|5|7
4499|402|5|4|9|8|10
4371|130|5|-23|1|6|6
3014|1150|2|-13|10|6|1
2236|1235|20|28|0|5|0
2071|10|15|-23|5|5|7
3282|122|7|-20|8|5|9
4791|983|19|8|2|2|9
2081|432|14|33|1|3|7
948|6|8|24|5|10|1
4386|766|12|-8|1|2|1
3146|74|4|17|1|9|1
734|1312|6|-22|0|3|7
116|403|15|-26|5|0|8
1693|1148|8|18|4|2|5
911|1385|12|-20|0|9|9
4322|146|13|33|8|4|10
3567|1119|6|-11|6|3|7
4627|372|17|35|4|0|5
501|108|10|25|7|9|4
1888|1351|15|18|10|3|3
1870|100|14|-16|2|2|1
1697|804|20|17|0|2|4
4107|1282|4|13|9|4|6
2936|1312|12|-18|5|8|9
162|836|4|-2|4|1|3
379|1295|14|-8|1|5|4
3848|741|18|19|6|4|4
1630|1162|20|39|8|7|8
285|729|16|-28|0|5|9
1462|1276|19|-1|10|7|6
1924|380|5|32|1|10|7
2811|241|16|-28|6|10|1
1351|920|3|30|7|0|6
4951|919|17|6|0|1|9
3934|661|3|16|9|4|6
2604|798|3|-17|3|9|6
3414|803|14|-28|2|5|0
3859|751|4|19|8|10|4
283|1124|18|-25|10|8|3
3736|803|3|-22|4|2|7
4841|476|16|-18|5|7|2
1056|1037|6|-3|5|6|2
1003|619|11|-23|10|10|9
4971|1034|12|26|10|2|3
2618|1141|7|-27|4|8|9
2420|470|4|19|8|1|3
1220|1368|10|1|3|3|5
2862|1399|17|3|6|5|8
2778|284|10|-14|4|5|2
2767|240|1|-17|4|1|7
3994|93|12|-14|8|7|1
1123|1326|6|-6|10|10|9
1787|1222|7|-2|2|4|9
3019|386|13|-2|5|5|2
3837|1211|16|-9|6|8|6
3279|1440|9|-30|7|5|6
1994|1197|9|2|10|8|3
4470|313|17|-26|8|7|4
334|1041|7|11|9|0|4
3201|888|15|13|3|7|0
4959|489|13|-18|7|5|10
1514|445|3|-18|7|3|2
1538|1123|19|-22|2|2|6
4054|210|6|-26|6|6|9
794|631|2|34|7|5|9
351|1488|17|0|3|7|9
3376|147|5|-30|1|1|0
136|405|17|31|8|2|7
1617|273|13|-24|0|0|0
706|64|1|-10|3|0|0
2655|318|20|-3|3|5|0
71|481|19|39|9|2|8
204|837|6|-30|6|8|8
2082|1467|12|11|1|4|6
1332|317|5|22|1|1|5
1412|623|12|35|5|0|2
1608|1495|14|-28|1|7|2
2601|873|17|29|1|7|8
3070|310|3|31|3|3|9
1037|31|16|20|2|10|6
3169|228|19|-16|2|0|5
4944|1005|2|-11|10|0|6
1647|1057|10|1|1|7|5
4502|1099|13|15|8|10|10
2877|795|8|12|3|6|4
2639|1006|18|-17|4|10|7
1403|331|17|-2|8|10|4
1969|507|15|-1|6|3|8
305|623|7|31|5|6|8
2019|1181|7|-16|7|1|7
2478|198|9|-25|6|3|5
3318|189|15|-23|7|4|4
1457|98|20|-20|10|5|0
2635|1225|20|38|1|7|3
20|1345|17|-7|0|1|9
3735|798|4|-14|8|0|4
3440|886|13|34|2|7|4
694|492|12|-25|7|9|9
3600|1383|15|-1|10|2|2
2931|47|17|13|2|2|6
3392|1427|15|-15|7|6|7
4716|599|6|20|4|6|3
1036|1462|10|-10|0|0|4
3516|1067|3|13|7|8|1
1196|193|12|30|2|9|2
3364|1471|7|17|5|0|1
1486|733|18|15|8|10|1
2296|1299|15|23|1|8|1
2124|696|15|-26|8|10|0
3295|128|13|31|10|9|10
4984|620|16|-29|8|7|7
2392|1203|9|39|1|3|8
2665|1166|12|-27|0|4|3
3324|912|16|37|3|5|2
2614|464|11|9|2|4|8
4920|641|15|17|9|3|4
781|1248|7|25|10|1|5
13|40|11|-16|6|2|1
3043|1458|14|-27|1|6|6
4048|33|1|33|10|2|1
1310|319|7|-22|4|0|1
1580|679|18|0|5|6|10
2431|111|2|39|5|6|4
3685|1358|8|22|0|8|0
4311|743|4|19|8|6|5
1276|628|17|30|2|2|8
1679|802|4|-2|9|6|2
1695|1077|19|18|1|5|7
3358|829|17|-13|7|6|5
3706|1304|5|-14|4|1|9
1540|538|8|9|5|0|5
4702|672|8|19|3|10|4
2967|1016|4|7|0|9|3
4013|1411|20|-27|4|7|4
2630|619|15|34|8|3|7
1888|631|2|-14|3|2|1
149|851|9|4|8|5|1
3324|1320|17|-1|4|10|9
998|1320|14|5|7|4|10
3706|1148|9|0|2|10|10
2278|1356|8|-2|7|8|10
3397|998|14|-26|4|5|2
969|294|19|17|7|7|5
2449|1432|13|40|9|1|7
3613|1338|12|33|8|0|2
2191|516|17|-14|0|0|4
4886|632|13|33|9|5|1
3755|1342|1|-6|7|10|7
4271|962|13|-25|7|5|3
1766|378|14|-22|7|0|3
1652|65|16|33|5|4|6
3500|693|3|-2|1|10|10
990|1003|4|10|9|7|6
4271|109|19|33|4|5|6
3839|1473|8|-7|7|5|3
4635|1449|7|-11|5|9|9
4561|438|15|-27|9|7|9
2840|727|6|39|1|5|8
1518|1166|11|-30|4|10|6
1584|30|13|29|0|4|8
2118|74|16|-2|2|10|2
1996|1065|15|34|10|2|4
4481|856|8|-10|0|8|4
1813|648|5|34|5|0|1
2956|180|6|-7|3|7|5
4084|673|3|-9|10|5|6
1537|1205|12|19|10|5|8
2198|183|18|-8|0|8|3
1921|513|4|-24|6|4|0
3519|489|19|0|6|9|6
4871|1131|3|29|10|1|9
3667|503|9|4|1|10|2
4870|479|4|25|0|1|0
18|315|15|11|2|9|5
4755|768|6|40|3|1|4
4467|695|3|27|7|7|9
4643|126|8|-28|3|4|9
803|168|5|3|3|8|1
2023|1080|1|29|7|4|5
4864|737|15|37|1|2|2
4130|93|20|-5|1|10|10
78|89|10|9|2|1|1
4365|1035|10|-16|10|2|2
3423|1487|1|3|5|1|1
4428|86|20|37|4|8|1
2508|1401|20|32|0|9|1
3333|396|6|-12|10|2|2
1823|1494|20|25|8|5|6
2275|671|1|7|5|6|10
1947|397|10|-26|9|4|5
1175|1335|18|-16|4|6|5
8|1485|14|18|10|4|6
3930|241|17|0|5|7|3
3808|1260|15|8|2|3|1
1412|1363|7|16|0|5|7
4256|814|7|0|3|9|4
3185|877|10|32|0|0|10
3950|1251|12|36|10|6|4
648|652|14|-17|6|9|7
789|938|4|-22|3|7|7
4513|1208|13|32|2|0|0
860|698|13|30|6|9|9
2577|1457|16|19|1|4|3
173|231|5|-27|1|9|3
3966|428|17|-29|9|1|0
4644|1287|12|31|3|7|7
2155|1316|6|-30|2|2|0
403|738|16|-15|1|0|4
1523|314|13|25|10|2|6
2800|42|12|11|7|4|6
3083|1444|2|-19|3|10|8
1768|1478|5|6|0|1|8
4596|552|5|10|3|5|0
1146|1115|10|-28|8|1|2
2112|1325|15|-23|5|0|3
4658|471|2|6|2|3|0
4708|865|18|-23|2|3|1
4682|282|15|26|8|8|0
2304|1199|14|32|4|6|6
2556|1204|4|-2|6|2|8
3533|304|10|-10|5|2|5
1296|95|15|15|10|6|3
3595|841|11|25|5|4|5
4900|1066|18|-14|6|2|9
3680|401|5|-1|1|6|3
1185|1342|8|16|10|9|0
540|1283|9|5|3|2|9
1652|593|19|4|8|9|7
2549|1320|20|-15|6|1|6
3691|1360|3|-8|3|3|10
4739|1093|10|0|8|2|5
4025|518|15|29|10|4|8
346|674|7|38|5|8|4
3498|1417|18|0|9|6|7
3309|1028|17|-2|8|7|3
1376|140|19|6|1|2|3
4445|1288|8|37|6|5|7
4997|894|4|30|6|6|10
3943|636|7|18|4|2|3
1919|623|3|21|1|1|1
4303|696|8|39|9|10|2
3263|961|14|17|3|3|6
3543|1135|12|-4|1|6|10
